,t1=8
11.099999999999989,3.9195562067098706
11.199999999999989,3.9315950787407563
11.299999999999988,3.943557123335971
11.399999999999988,3.955444991088131
11.499999999999988,3.9672611319027404
11.599999999999987,3.979007807478999
11.699999999999987,3.9906871001786905
11.799999999999986,4.002300923317679
11.899999999999986,4.013851032005066
11.999999999999986,4.0253390297742015
12.099999999999985,4.036766378264967
12.199999999999985,4.048134405309937
12.299999999999985,4.059444311479019
12.399999999999984,4.070697178648846
12.499999999999984,4.081893976250765
12.599999999999984,4.093035567550588
12.699999999999983,4.104122716897098
12.799999999999983,4.115156094866334
12.899999999999983,4.126136284233238
12.999999999999982,4.137063786012447
13.099999999999982,4.147939024054465
13.199999999999982,4.158762349967612
13.299999999999981,4.169534049150625
13.39999999999998,4.1802543438727735
13.49999999999998,4.190923398821493
13.59999999999998,4.201541324695158
13.69999999999998,4.212108182146181
13.79999999999998,4.222623985950084
13.899999999999979,4.233088709034184
13.999999999999979,4.243502286448626
14.099999999999978,4.253864618139491
14.199999999999978,4.264175569753448
14.299999999999978,4.274434980197816
14.399999999999977,4.284642663605242
14.499999999999977,4.294798407833139
14.599999999999977,4.304901981608148
14.699999999999976,4.314953137548729
14.799999999999976,4.324951610977639
14.899999999999975,4.33489712347255
14.999999999999975,4.344789387708125
15.099999999999975,4.35462810729483
15.199999999999974,4.364412976640063
15.299999999999974,4.374143687216835
15.399999999999974,4.383819927832715
15.499999999999973,4.393441382869867
15.599999999999973,4.403007738241719
15.699999999999973,4.412518682711845
15.799999999999972,4.4219739067592565
15.899999999999972,4.4313731024080205
15.999999999999972,4.4407159692704985
16.099999999999973,4.4500022141005795
16.19999999999997,4.459231548350132
16.29999999999997,4.4684036921439185
16.39999999999997,4.477518376091486
16.49999999999997,4.4865753406798055
16.59999999999997,4.495574334374086
16.699999999999967,4.504515118551984
16.79999999999997,4.513397467239431
16.89999999999997,4.522221165324645
16.999999999999968,4.530986009767689
17.099999999999966,4.539691812014488
17.199999999999967,4.548338397306863
17.29999999999997,4.556925602927164
17.399999999999967,4.565453280576571
17.499999999999964,4.573921297190579
17.599999999999966,4.582329533265555
17.699999999999967,4.5906778822930345
17.799999999999965,4.598966253949692
17.899999999999963,4.607194572928138
17.999999999999964,4.6153627789707485
