,V_no,H_no,M_no,V,H,M
4.0,0.14230347593023351,0.7896056536431711,0.24822992008936925,0.05809963858522596,0.1782743867477842,0.058198265183767965
4.1000000000000005,0.12693137242471014,0.7819295529734344,0.2495742861852542,0.05509587922267577,0.17804366392575066,0.05876410549074831
4.2,0.11357290731677916,0.7740527857239419,0.25077525455013744,0.05225306288016729,0.1777354283266767,0.05930071909758152
4.3,0.10194356174695411,0.7660631305958341,0.2518515035370936,0.04956373845479337,0.17735835217964158,0.059809677942604916
4.4,0.09179885781550041,0.7580329025862124,0.25281907064108816,0.04702049949530695,0.17692047601387906,0.06029248035701386
4.5,0.08292947174308951,0.7500213004595457,0.2536917283426565,0.04461606291421486,0.17642922738900665,0.060750550291314806
4.6000000000000005,0.07515659656148373,0.7420764411056208,0.25448131218337106,0.042343300439181566,0.1758914587953045,0.06118524024517935
4.7,0.06832770107245796,0.7342371076875349,0.2551980043713687,0.04019529187811113,0.1753134715109875,0.061597831913596635
4.800000000000001,0.06231274564521061,0.7265342422825756,0.2558505772104897,0.038165339250505505,0.17470105152330243,0.06198953937248562
4.9,0.05700086299540413,0.7189922148176808,0.256446601052995,0.036247000486430425,0.1740594953451473,0.062361510570645075
5.0,0.05229748289203325,0.7116298978416232,0.25699262128073297,0.03443409176752884,0.17339364381486966,0.06271483065104679
5.1000000000000005,0.04812186340960318,0.7044615748132363,0.25749430861259026,0.03272070557058452,0.17270790842031308,0.06305052403096527
5.2,0.04440498499120455,0.697497706288985,0.25795658657243675,0.03110120634034506,0.17200630195154423,0.06336955760897908
5.300000000000001,0.04108775912089128,0.6907455755964566,0.2583837395518891,0.029570237336944392,0.17129246452631755,0.06367284317335585
5.4,0.03811951809646695,0.6842098318054652,0.25877950427158636,0.028122712406414847,0.17056969098402938,0.06396124042130881
5.5,0.03545673444541194,0.6778929473197768,0.25914714746192463,0.026753815180944614,0.1698409551482975,0.0642355594542171
5.6000000000000005,0.03306194126729207,0.6717956024530303,0.25948953171530953,0.025458988900508996,0.1691089341701035,0.06449656357066202
5.7,0.030902823406019308,0.665917008851459,0.2598091714084604,0.024233931258534725,0.16837603080517102,0.06474497171476837
5.800000000000001,0.02895145015773019,0.6602551812964991,0.2601082802718361,0.023074581325262248,0.16764439503300627,0.06498146110889229
5.9,0.027183628339739193,0.654807166326128,0.2603888119085266,0.02197711176909384,0.16691594389182035,0.0652066695545221
6.0,0.025578356475299758,0.6495692344377904,0.2606524943787078,0.020937921003834684,0.1661923798772458,0.06542119760312366
